Artist;Album Name;Genre;Release Date;Favourite Song;Rating
Portishead;Dummy;Trip Hop  ;22.04.1994;Roads;10
Björk;Homogenic;Art Pop, Electronic;22.09.1997;Bachelorette;10
Madonna;Ray of Light;Downtempo, Art Pop;26.02.1998;Little Star;10
Deltron 3030;Deltron 3030;West Coast Hip Hop, Abstract Hip Hop, Experimental Hip Hop;23.05.2000;3030;10
PJ Harvey;Stories From The City, Stories From The Sea;Alternative Rock, Singer-Songwriter;24.10.2000;We Float;10
The Avalanches;Since I Left You;Plunderphonics, Dance, Nu-Disco;27.11.2000;Since I Left You;10
Hey;[sic!];Alternative Rock;22.10.2001;Z rejestru strasznych snów;10
Daft Punk;Alive 2007;French House, Mashup, French Electro;19.11.2007;;10
Hey;Mi³oœæ! Uwaga! Ratunku! Pomocy!;Alternative Rock, Pop Rock;23.10.2009;Bojê siê o nas;10
Tame Impala;Innerspeaker;Psychedelic Rock, Neo-Psychedelia;21.05.2010;Alter Ego;10
Death Grips;The Money Store;Industrial Hip Hop, Hardcore Hip Hop, Experimental Hip Hop;24.04.2012;Hacker;10
David Bowie;Blackstar;Art Rock;08.01.2016;Blackstar;10
Bruno Pernadas;Those Who Throw Objects at the Crocodiles Will Be Asked to Retrieve Them;Progressive Pop, Art Pop, Jazz Pop, Jazz Fusion;23.09.2016;Spaceway 70;10
KIDS SEE GHOSTS;KIDS SEE GHOSTS;Pop Rap, Experimental Hip Hop;08.06.2018;Kids See Ghosts;10
Weyes Blood;Titanic Rising;Baroque Pop, Art Pop;05.04.2019;Andromeda;10
Tyler, The Creator;IGOR;Neo-Soul;17.05.2019;EARFQUAKE;10
Fiona Apple;Fetch the Bolt Cutters;Singer-Songwriter, Art Pop, Progressive Pop;17.04.2020;Cosmonauts;10
£ona;TAXI;Jazz Rap, Conscious Hip Hop;13.10.2023;PAN DAREK;10
Nico;The Marble Index;Avant-Folk;05.11.1968;Ari's Song;9,75
Sade;Love Deluxe;Smooth Soul, Sophisti-Pop, Downtempo;11.11.1992;Cherish the Day;9,75
Radiohead;The Bends;Alternative Rock, Post-Britpop;13.03.1995;Street Spirit (Fade Out);9,75
Portishead;Roseland NYC Live;Trip Hop;02.11.1998;Strangers - Live;9,75
The Cure;Pornography;Gothic Rock, Post-Punk;03.05.1982;One Hundred Years;9,5
Kate Bush;Hounds of Love;Art Pop, Progressive Pop;16.09.1985;Cloudbusting;9,5
Œcianka;Statek Kosmiczny;Experimental Rock, Psychedelic Rock;01.06.1998;Skuter;9,5
Kanye West;Late Orchestration;Hip Hop, Pop Rap, Orchestral Music;24.04.2006;Diamonds From Sierra Leone;9,5
Portishead;Third;Electronic, Experimental Rock;28.04.2008;The Rip;9,5
Black Country, New Road;Ants From Up There;Art Rock, Post-Rock, Chamber Pop, Indie Rock;04.02.2022;The Place Where He Inserted the Blade;9,5
Weyes Blood;And in the Darkness, Hearts Aglow;Baroque Pop, Singer-Songwriter;18.11.2022;God Turn Me Into a Flower;9,5
CAN;Ege Bamyasi;Krautrock;01.10.1972;Vitamin C;9,25
Maanam;Nocny patrol;New Wave, Post-Punk;01.04.1984;Krakowski spleen;9,25
Modest Mouse;The Lonesome Crowded West;Indie Rock, Slacker Rock;18.11.1997;Teeth Like God's Shoeshine;9,25
The Flaming Lips;The Soft Bulletin;Neo-Psychedelia, Psychedelic Pop;22.06.1999;Race for the Prize;9,25
Madvillain;Madvillainy;Abstract Hip Hop, Experimental Hip Hop;23.03.2004;All Caps;9,25
Sweet Trip;You Will Never Know Why;Indie Pop, Dream Pop, Indie Rock;28.09.2009;Acting;9,25
Sufjan Stevens;The Age of Adz;Art Pop, Progressive Pop, Indietronica, Glitch Pop;12.10.2010;Impossible Soul;9,25
The Beach Boys;The Smile Sessions;Baroque Pop, Psychedelic Pop, Progressive Pop, Art Pop;01.11.2011;Good Vibrations;9,25
Sufjan Stevens;Carrie & Lowell;Indie Folk, Singer-Songwriter;31.03.2015;Fourth of July;9,25
Charli XCX;Brat;Electropop, Electronic Dance Music;07.06.2024;Von Dutch;9,25
The Cure;Songs of a Lost World;Gothic Rock, Alternative Rock;01.11.2024;Endsong;9,25
Maanam;Mental Cut;New Wave;01.02.1985;Lipstick on the Glass;9
Sonic Youth;Daydream Nation;Noise Rock, Alternative Rock;18.06.1998;Teen Age Riot;9
PJ Harvey;Is This Desire?;Alternative Rock, Singer-Songwriter, Downtempo;28.09.1998;Angelene;9
Three 6 Mafia;Underground Vol. 1: 1991-1994;Memphis Rap, Southern Hip Hop;02.03.1999;Paul With da 45;9
Elliott Smith;Figure 8;Singer-Songwriter, Indie Pop;18.04.2000;Son of Sam;9
