track_name,album_name,release_date,duration_ms,key,mode,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
I Want You To Love Me,Fetch The Bolt Cutters,2020-04-17,237713,9,0,0.528,0.504,-8.821,0.09,0.559,0.0414,0.0936,0.712,141.369
Shameika,Fetch The Bolt Cutters,2020-04-17,248603,8,1,0.375,0.776,-6.767,0.274,0.154,8.16e-05,0.0925,0.647,186.814
Fetch The Bolt Cutters,Fetch The Bolt Cutters,2020-04-17,298457,0,1,0.485,0.488,-11.34,0.171,0.526,2.02e-05,0.0686,0.339,150.856
Under The Table,Fetch The Bolt Cutters,2020-04-17,201352,0,1,0.64,0.494,-8.14,0.0602,0.295,4.8e-06,0.248,0.547,119.854
Relay,Fetch The Bolt Cutters,2020-04-17,289229,11,0,0.502,0.574,-8.456,0.385,0.231,0.0,0.212,0.474,92.101
Rack of His,Fetch The Bolt Cutters,2020-04-17,222307,7,1,0.44,0.619,-9.846,0.112,0.831,0.00113,0.101,0.552,94.968
Newspaper,Fetch The Bolt Cutters,2020-04-17,332404,11,0,0.502,0.724,-7.158,0.246,0.396,0.0,0.111,0.576,137.65
Ladies,Fetch The Bolt Cutters,2020-04-17,325373,6,0,0.562,0.307,-9.629,0.103,0.645,0.000551,0.107,0.28,133.836
Heavy Balloon,Fetch The Bolt Cutters,2020-04-17,206262,11,0,0.635,0.67,-6.533,0.0723,0.126,3.68e-05,0.166,0.17,83.901
Cosmonauts,Fetch The Bolt Cutters,2020-04-17,239310,0,1,0.547,0.472,-9.218,0.256,0.702,0.0,0.168,0.537,113.705
For Her,Fetch The Bolt Cutters,2020-04-17,163720,8,1,0.431,0.522,-9.022,0.39,0.806,0.0,0.373,0.447,174.085
Drumset,Fetch The Bolt Cutters,2020-04-17,160324,8,1,0.75,0.661,-7.991,0.286,0.61,0.0,0.117,0.822,113.165
On I Go,Fetch The Bolt Cutters,2020-04-17,189082,1,1,0.516,0.609,-10.649,0.142,0.241,5.3e-06,0.36,0.617,95.013
