track_name,album_name,release_date,track_id,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
I Want You To Love Me,Fetch The Bolt Cutters,2020-04-17,73SBAGI4fPFm4VkB3NjXq8,237713,0.528,0.504,9,-8.821,0,0.09,0.559,0.0414,0.0936,0.712,141.369
Shameika,Fetch The Bolt Cutters,2020-04-17,2pDKE8Q40TDGPl1O11DKKn,248603,0.375,0.776,8,-6.767,1,0.274,0.154,8.16e-05,0.0925,0.647,186.814
Fetch The Bolt Cutters,Fetch The Bolt Cutters,2020-04-17,4SdubskbLiOkpsIjRVVsya,298457,0.485,0.488,0,-11.34,1,0.171,0.526,2.02e-05,0.0686,0.339,150.856
Under The Table,Fetch The Bolt Cutters,2020-04-17,12WhIX6MvI93bS3wPSStSY,201352,0.64,0.494,0,-8.14,1,0.0602,0.295,4.8e-06,0.248,0.547,119.854
Relay,Fetch The Bolt Cutters,2020-04-17,5hnOzmFuGltDDAm008jFDh,289229,0.502,0.574,11,-8.456,0,0.385,0.231,0,0.212,0.474,92.101
Rack of His,Fetch The Bolt Cutters,2020-04-17,17QLp5uadHptxnmq9clK8U,222307,0.44,0.619,7,-9.846,1,0.112,0.831,0.00113,0.101,0.552,94.968
Newspaper,Fetch The Bolt Cutters,2020-04-17,1YsWyCYqpA8uZaR9SfYAnY,332404,0.502,0.724,11,-7.158,0,0.246,0.396,0,0.111,0.576,137.65
Ladies,Fetch The Bolt Cutters,2020-04-17,0jH0IsCBGackT3RmHBbSUI,325373,0.562,0.307,6,-9.629,0,0.103,0.645,0.000551,0.107,0.28,133.836
Heavy Balloon,Fetch The Bolt Cutters,2020-04-17,2OQpQTRogZ1AhnUHJiT9Nb,206262,0.635,0.67,11,-6.533,0,0.0723,0.126,3.68e-05,0.166,0.17,83.901
Cosmonauts,Fetch The Bolt Cutters,2020-04-17,7eGoc6UmwiRAVnilTZajNC,239310,0.547,0.472,0,-9.218,1,0.256,0.702,0,0.168,0.537,113.705
For Her,Fetch The Bolt Cutters,2020-04-17,5BBWr1LUsCH1tECJLAUGnP,163720,0.431,0.522,8,-9.022,1,0.39,0.806,0,0.373,0.447,174.085
Drumset,Fetch The Bolt Cutters,2020-04-17,4baGw8dAfqNl7RrmlMtzb5,160324,0.75,0.661,8,-7.991,1,0.286,0.61,0,0.117,0.822,113.165
On I Go,Fetch The Bolt Cutters,2020-04-17,6VU4Ys4rbbbwJ84g1ZuYA5,189082,0.516,0.609,1,-10.649,1,0.142,0.241,5.3e-06,0.36,0.617,95.013
Every Single Night,The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do (Expanded Edition),2012-06-18,6HPZo9krwjbhMGKbqVkkDQ,209386,0.687,0.195,0,-12.612,1,0.0603,0.859,0,0.226,0.402,125.949
Daredevil,The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do (Expanded Edition),2012-06-18,67ftdeQCBBgd3rB78NVLr2,208200,0.709,0.386,7,-15.281,1,0.058,0.761,0.00131,0.0605,0.443,85.614
Valentine,The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do (Expanded Edition),2012-06-18,2zhOjOH2DvARkRcCvCo7DC,212840,0.51,0.18,2,-15.673,1,0.0553,0.784,0.000478,0.0944,0.145,109.973
Jonathan,The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do (Expanded Edition),2012-06-18,1xq9GyfTbElPmxFMcKHNiI,303733,0.548,0.423,11,-14.138,1,0.0262,0.737,0.172,0.0901,0.236,155.025
Left Alone,The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do (Expanded Edition),2012-06-18,18U67rsYOw5X0rY7LJzZQD,290680,0.495,0.416,10,-13.717,0,0.041,0.673,0.0204,0.103,0.362,171.167
Werewolf,The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do (Expanded Edition),2012-06-18,5exHP9IYyaFSeQ5Y4OtbKb,192706,0.453,0.303,9,-13.748,0,0.0424,0.836,1.48e-05,0.0937,0.213,123.223
Periphery,The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do (Expanded Edition),2012-06-18,2cf3Yj51sQZXmK2Kra0m7p,298280,0.435,0.374,7,-11.403,1,0.0417,0.657,0.0882,0.0945,0.807,109.316
Regret,The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do (Expanded Edition),2012-06-18,7fzfi31oBNGZAwgE1Q41u0,316960,0.663,0.287,0,-16.088,1,0.0389,0.826,0.577,0.0839,0.217,146.96
Anything We Want,The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do (Expanded Edition),2012-06-18,1eBB2ZqS7NAVe6henP56PY,280893,0.728,0.413,0,-13.061,1,0.0326,0.538,0.00514,0.0864,0.425,98.497
