name,latitude,longitude
Vlčí rokle,49.8746428,14.5312744
Vodní tunel pod tratí,49.8724971,14.5140905
Hrad Šternberk,49.7330775,17.3018576
Giszowiec,50.2218038,19.0677859
Krypta Oleśnickich,50.8592755,21.0534329
Żernica Niżna,49.3761223,22.2987176
Oltářní kámen,49.7787244,17.2737605
Jaskinia na Wierzchowinie,49.5327001,21.698202
Jaskinia przy Szkółce,49.5319019,21.6993008
Jaskinia pod Bukiem,49.5312001,21.7012023
Unnamed,49.5343769,21.6910549
Unnamed,49.534274,21.6912366
Jaskinia gdzie samolot spadł,49.5253302,21.72758
Jaskinia gdzie samolot spadł,49.5254596,21.7278591
Wodospad Magurski,49.5995617,21.3852508
Unnamed,52.1204939,21.0468175
Morový sloup,49.7014109,17.0759922
Masaryk,49.5958925,17.2647854
1939 stanowisko gen.Abrahama,52.31955,20.8020708
Pomnik Żołnierzy Wojska Polskiego,51.083473,16.9733008
Unnamed,51.5565966,14.7272642
Unnamed,51.5562897,14.7261286
Kopiec Kościuszki,50.054915,19.8933537
Pomnik Kazimierza III,49.9692488,20.4305068
Unnamed,49.9702227,20.429642
Ostrauer Aufzug,50.9166922,14.1612626
Pavillon,50.9122409,14.2593118
Idagrotte,50.9122306,14.2461692
Barbarine,50.896538,14.0819149
Bloßstock,50.9200151,14.2359648
Brosinnadel,50.9187616,14.2333003
Pravčická brána,50.8837099,14.2812522
Schlüsselstein,50.9632771,14.1295281
historische Holzbrücke,53.7380214,14.0548487
Storchennest,51.0877734,14.0163948
Perkun Spływy Łodziami i kajakowe Krutynią,53.6871067,21.429639
Pomnik Kościuszkowców,52.248033,21.0307911
Pomnik Czynu Polaków,53.4427668,14.537704
Památník obětem I. a II. světové války,49.5137121,17.0992584
atom,49.701632,17.0815949
Pferdehof Jerol,51.8901645,14.1394019
Pferdehof Wehlan,51.886567,14.1437676
Weidenburg - Arena Salix,51.8467428,14.1549566
Kräutergarten,51.8480674,14.1527051
Spreehafen Burg,51.8373365,14.1478614
Unnamed,50.560937,15.9126816
Pomnik Jana Pawła II,53.4394082,14.5410725
Großes Zittauer Fastentuch 1472,50.8979167,14.8112287
Větrný mlýn,49.675561,14.3822432
Kopiec Piłsudskiego,50.06005,19.8471666
Unnamed,50.0067881,16.2849039
Trójstyk granic PL-CZ-SK,49.5173794,18.8510358
Trojmezí CZ-SK-PL,49.517389,18.850828
Trojmedzie hraníc SK-PL-CZ,49.5167033,18.8508687
