name,latitude,longitude
Poland Spring,44.075133,-70.4162989
Oak Hill,44.0503503,-70.4086677
Five Corners,44.0753499,-70.4164457
Promised Land,44.0678498,-70.4386683
Moussam,44.0803504,-70.3408891
Hackett Mills,44.0859058,-70.3356113
Empire,44.053962,-70.3242219
South Main Street Historic District,41.0220993,-80.6107507
Chapel of the Evangelical Free Church,41.022837,-80.6084062
Bailey Hill,44.0667393,-70.3653338
Black Cat Mountain,44.0031286,-70.4239453
Harris Hill,44.0834057,-70.3647784
Johnson Hill,44.0167392,-70.4556125
Megquier Hill,44.0400723,-70.4483904
White Oak Hill,44.044517,-70.4058898
Range Hill,44.0086845,-70.3753335
Raspberry Hill,44.0772945,-70.3922788
Ricker Hill,44.0247955,-70.3600557
Shaker Hill,44.0039625,-70.363111
Waterhouse Brook Dam,44.0617392,-70.3895008
Elan Rehabilitation Center,44.0072955,-70.386167
Empire Grove Church,44.0603508,-70.3275554
Oak Hill,44.0509058,-70.4045009
Poland Baptist Church,44.0614614,-70.3942231
Poland Community Church,44.0620169,-70.3939453
Potash Cove,44.0459054,-70.4620018
Lower Range Seaplane Base,44.0445173,-70.3683892
Pro Shop,44.0291235,-70.3611169
Dunkin' Donuts,44.0693403,-70.4073179
Subway,44.069288,-70.407362
Family Dollar,44.0693658,-70.4082153
Vernal Pool,44.0626603,-70.4070366
White Oaks,44.0607616,-70.4027512
East Poland Post Office,44.070492,-70.3283324
Androscoggin County Sheriffs Department Poland Unit,44.0618487,-70.3955494
FairPoint Central Office,44.0613696,-70.394608
Big Apple,44.0751039,-70.4150453
Maine DOT,44.0677248,-70.404984
West Poland Post Office,44.0355243,-70.4379068
Poland Fire and Rescue Department,44.0617217,-70.3902775
Poland Public Works,44.0608944,-70.3907513
McDonald's,44.0751927,-70.4152171
Poland Transfer Station,44.0679558,-70.408155
J.M. Morin Earthworks,44.0909597,-70.3442241
Poland Manor,41.0168316,-80.6119945
Pressed Coffee Bar & Eatery,41.0228284,-80.6106838
President William McKinley's Boyhood Home,41.0230403,-80.6123632
Walgreens,41.0247684,-80.6161853
Butler Circle,41.0152376,-80.6191278
The Backwaters,41.0273191,-80.6060251
Bake Me Treats,41.0236961,-80.614876
Agassiz Village,44.038708,-70.4732408
The Old Stone Tavern,41.0234877,-80.6128636
South Main Street District,41.0199764,-80.6083827
The Village Green and Graveyard / Poland Presbyterian Church,41.019531,-80.6080425
Lewiston Street,44.106018,-70.3759905
Girardin Lane,44.071459,-70.399849
Quarry Road,43.9899875,-70.3691125
King Avenue,44.0608175,-70.3292105
Fire Lane 4,44.063612,-70.4702795
Fire Lane 6,44.055236,-70.462182
Autumn Drive,44.0129444,-70.3685526
Agassiz Village Lane,44.0385769,-70.4702305
Preservation Way,44.0284915,-70.3615435
Donald Ross Drive,44.0285434,-70.3616947
Simplicity Way,43.9979868,-70.3621329
Preservation Way,44.0256891,-70.3632435
Donald Ross Drive,44.0270212,-70.3610802
