city,category,name,address,latitude,longitude,rating,user_ratings_total,administrative_region,postal_code
Warsaw,restaurant,Stary Dom,"Puławska 104/106, 02-620 Warszawa, Poland",52.1955548,21.0238317,4.7,9089,Województwo mazowieckie,02-620
Warsaw,restaurant,GOŚCINIEC Polskie Pierogi,"Nowy Świat 43, 00-042 Warszawa, Poland",52.2347014,21.0184249,4.7,9763,Województwo mazowieckie,00-042
Warsaw,restaurant,Restauracja Portretowa,"Piekarska 6, 00-264 Warszawa, Poland",52.248546,21.0110243,4.5,1301,Województwo mazowieckie,00-264
Warsaw,restaurant,Soul Kitchen,"Nowogrodzka 18A, 00-511 Warszawa, Poland",52.229555,21.0148867,4.7,4370,Województwo mazowieckie,00-511
Warsaw,restaurant,Restauracja Delicja Polska,"Krakowskie Przedmieście 64, 00-322 Warszawa, Poland",52.2454325,21.0142753,4.7,1395,Województwo mazowieckie,00-322
Warsaw,restaurant,Stara Kamienica,"Widok 8, 00-023 Warszawa, Poland",52.2315639,21.015275,4.6,2035,Województwo mazowieckie,00-023
Warsaw,restaurant,U Szwejka,"plac Konstytucji 1, 00-647 Warszawa, Poland",52.2213354,21.0160374,4.5,20730,Województwo mazowieckie,00-647
Warsaw,restaurant,N31 Restaurant & Bar,"Nowogrodzka 31, 00-511 Warszawa, Poland",52.2288769,21.0134836,4.8,1723,Województwo mazowieckie,00-511
Warsaw,restaurant,Podwale 25 Kompania Piwna,"Podwale 25, 00-261 Warszawa, Poland",52.2500722,21.0093433,4.5,16049,Województwo mazowieckie,00-261
Warsaw,restaurant,Gościniec,"Podwale 19, 00-252 Warszawa, Poland",52.2490382,21.0093376,4.7,11046,Województwo mazowieckie,00-257
Warsaw,restaurant,Bazyliszek Restaurant,"Rynek Starego Miasta 1/3, 00-272 Warszawa, Poland",52.2495622,21.0129158,4.3,11500,Województwo mazowieckie,00-272
Warsaw,restaurant,Czerwony Wieprz | restauracja polska Warszawa Śródmieście,"Żelazna 68, 00-866 Warszawa, Poland",52.2369553,20.9896407,4.4,5863,Województwo mazowieckie,00-866
Warsaw,restaurant,Restauracja Różana,"Chocimska 7, 00-791 Warszawa, Poland",52.2084336,21.0235438,4.7,5444,Województwo mazowieckie,00-791
Warsaw,restaurant,Zapiecek,"Krakowskie Przedmieście 55, 00-071 Warszawa, Poland",52.2450436,21.013711,4.4,12588,Województwo mazowieckie,00-071
Warsaw,restaurant,GOŚCINIEC Polskie Pierogi,"Piwna 12/14/lu3, 00-265 Warszawa, Poland",52.2485029,21.0126806,4.7,9364,Województwo mazowieckie,00-265
Warsaw,restaurant,Restauracja Primitivo Kuchnia i Wino - kuchnia śródziemnomorska Warszawa,"Waliców 13, 00-851 Warszawa, Poland",52.235268,20.992115,4.9,1548,Województwo mazowieckie,00-865
Warsaw,restaurant,CUD MIÓD,"Nowogrodzka 56, 00-695 Warszawa, Poland",52.2277225,21.0065569,4.5,4649,Województwo mazowieckie,00-695
Warsaw,restaurant,Der Elefant,"plac Bankowy 1, 00-139 Warszawa, Poland",52.2417903,21.0035137,4.5,9797,Województwo mazowieckie,00-139
Warsaw,restaurant,Whiskey in the Jar,"Marszałkowska 53, 00-676 Warszawa, Poland",52.2231413,21.0149735,4.6,6740,Województwo mazowieckie,00-676
Warsaw,restaurant,the morning after (the night before),"Poznańska 7, 00-680 Warszawa, Poland",52.2240155,21.0122537,4.6,862,Województwo mazowieckie,00-680
Warsaw,restaurant,Warszawa Wschodnia,"Soho Factory, Mińska 29A/bud. 46, 03-808 Warszawa, Poland",52.24963409999999,21.0606549,4.5,5119,Województwo mazowieckie,03-808
Warsaw,restaurant,Nar Restaurant Warsaw,"Żurawia 47/49, 00-680 Warszawa, Poland",52.2271606,21.0111021,4.7,591,Województwo mazowieckie,00-001
Warsaw,restaurant,ČESKÁ beer restaurant,"Chmielna 35, 00-801 Warszawa, Poland",52.2316571,21.0119596,4.4,8196,Województwo mazowieckie,00-021
Warsaw,restaurant,SELAVI Restaurant & Bar,"plac Stanisława Małachowskiego 2, 00-066 Warszawa, Poland",52.2390517,21.0128005,4.3,1254,Województwo mazowieckie,00-066
Warsaw,restaurant,Specjały Regionalne,"Nowy Świat 44, 00-363 Warszawa, Poland",52.234567,21.019048,4.4,3770,Województwo mazowieckie,00-363
Warsaw,restaurant,Lokanta,"Nowogrodzka 47A, 00-695 Warszawa, Poland",52.2278131,21.0084407,4.1,2072,Województwo mazowieckie,00-695
Warsaw,restaurant,Gospoda Kwiaty Polskie,"Wąski Dunaj 4/6/8, 00-256 Warszawa, Poland",52.249764,21.011035,4.4,2268,Województwo mazowieckie,00-256
Warsaw,restaurant,Hala Koszyki,"Koszykowa 63, 00-667 Warszawa, Poland",52.2224832,21.0115264,4.6,22054,Województwo mazowieckie,00-667
Warsaw,restaurant,STOLICA Restauracja Stare Miasto Warszawa starówka kuchnia polska,"Szeroki Dunaj 1/3, 00-255 Warszawa, Poland",52.2494869,21.0105005,4.6,1209,Województwo mazowieckie,00-255
Warsaw,restaurant,Restauracja ELIXIR by Dom Wódki | polish restaurant Warsaw,"Wierzbowa 9/11, 00-094 Warszawa, Poland",52.2434747,21.0084895,4.7,1605,Województwo mazowieckie,00-094
Warsaw,restaurant,InFormal Kitchen,"plac Stanisława Małachowskiego 2, 00-066 Warszawa, Poland",52.2389951,21.0137444,4.7,2092,Województwo mazowieckie,00-067
Warsaw,restaurant,THAISTY,"plac Bankowy 4, 00-095 Warszawa, Poland",52.2431129,21.0033918,4.5,7477,Województwo mazowieckie,00-095
Warsaw,restaurant,Prodiz Warszawski,"Poznańska 16, 00-680 Warszawa, Poland",52.22521870000001,21.0119788,4.6,1754,Województwo mazowieckie,00-680
Warsaw,restaurant,Namaste India,"Nowogrodzka 15, 00-511 Warszawa, Poland",52.2295805,21.0164484,4.4,2653,Województwo mazowieckie,00-511
Warsaw,restaurant,Prime Cut | The best steak in Warsaw,"Twarda 18, 00-105 Warszawa, Poland",52.2344719,20.999164,4.5,2022,Województwo mazowieckie,00-105
Warsaw,restaurant,Restauracja Bubbles Warszawa,"plac Marszałka Józefa Piłsudskiego 9, 00-078 Warszawa, Poland",52.2429961,21.0114895,4.5,1105,Województwo mazowieckie,00-078
Warsaw,restaurant,RADIO CAFE,"Nowogrodzka 56, 00-695 Warszawa, Poland",52.2276932,21.0066691,4.4,2190,Województwo mazowieckie,00-695
Warsaw,restaurant,U Sióstr,"Złota 63A, 00-819 Warszawa, Poland",52.2300171,20.9989091,4.4,2769,Województwo mazowieckie,00-819
Warsaw,restaurant,Nuta,"LOKALIZACJA: ETHOS, plac Trzech Krzyży 10/14, 00-499 Warszawa, Poland",52.2290834,21.0231102,4.8,272,Województwo mazowieckie,00-535
Warsaw,restaurant,Restaurant Le Braci,"Górnośląska 24, 00-484 Warszawa, Poland",52.224413,21.0287939,4.5,484,Województwo mazowieckie,00-484
Warsaw,restaurant,Butchery & Wine,"Żurawia 22, 00-515 Warszawa, Poland",52.2285741,21.0154928,4.6,2171,Województwo mazowieckie,00-515
Warsaw,restaurant,Beef and Pepper Steak house,"Nowogrodzka 47A, 00-695 Warszawa, Poland",52.2277778,21.0083333,4.6,6963,Województwo mazowieckie,00-695
Warsaw,restaurant,Restauracja Kamienne Schodki s.c.,"Rynek Starego Miasta 26, 00-272 Warszawa, Poland",52.2504062,21.012195,4.5,1590,Województwo mazowieckie,00-272
Warsaw,restaurant,Rozbrat 20,"Rozbrat 20, 00-447 Warszawa, Poland",52.2241705,21.0350738,4.7,751,Województwo mazowieckie,00-447
Warsaw,restaurant,Barbakan-Korkociąg,"Freta 1, 00-227 Warszawa, Poland",52.2509138,21.0087707,4.1,1474,Województwo mazowieckie,00-227
Warsaw,restaurant,Restauracja Romantyczna,"Rynek Starego Miasta 18, 00-272 Warszawa, Poland",52.2501377,21.012398,4.2,878,Województwo mazowieckie,00-272
Warsaw,restaurant,Nobu Restaurant Warsaw,"Wilcza 73, 00-670 Warszawa, Poland",52.22291990000001,21.0076611,4.0,354,Województwo mazowieckie,00-671
Warsaw,restaurant,Reina Steakhouse,"Jasna 10, 00-013 Warszawa, Poland",52.2344326,21.0118995,4.6,1072,Województwo mazowieckie,00-013
Warsaw,restaurant,Le Petit Chef - Warsaw,"Grzybowska 63, 00-844 Warszawa, Poland",52.23331959999999,20.9862688,4.4,109,Województwo mazowieckie,00-844
Warsaw,restaurant,La Brasserie Moderne,"Królewska 11, 00-065 Warszawa, Poland",52.23979440000001,21.0126455,4.4,228,Województwo mazowieckie,00-065
Warsaw,restaurant,Restauracja PAPU,"al. Niepodległości 132/136, 02-554 Warszawa, Poland",52.204389,21.0100882,4.6,1016,Województwo mazowieckie,02-554
Warsaw,restaurant,Restauracja U Wieniawy,"plac Marszałka Józefa Piłsudskiego 9, 00-078 Warszawa, Poland",52.2430891,21.0116901,4.8,884,Województwo mazowieckie,00-078
Warsaw,restaurant,Hard Rock Cafe Warsaw,"Ul. Zlota, Złote Tarasy 59, 00-120 Złota, Poland",52.2299936,21.0040312,4.4,12594,Województwo mazowieckie,00-118
Warsaw,restaurant,Restauracja Literatka,"Krakowskie Przedmieście 87/89, 00-079 Warszawa, Poland",52.2468793,21.0132171,4.2,2725,Województwo mazowieckie,00-001
Warsaw,restaurant,Ceprownia - polska restauracja w góralskim stylu,"Krakowskie Przedmieście 7, 00-068 Warszawa, Poland",52.240268,21.0163496,4.5,1884,Województwo mazowieckie,00-068
Warsaw,restaurant,Restauracja Przy Zamku,"plac Zamkowy 15/19, 03-401 Warszawa, Poland",52.24797119999999,21.0135102,4.0,734,Województwo mazowieckie,03-412
Warsaw,restaurant,Wiesz co Zjesz,"plac Konstytucji 1, 00-647 Warszawa, Poland",52.2210293,21.0168745,4.6,1075,Województwo mazowieckie,00-647
Warsaw,restaurant,Nolita,"Wilcza 46, 00-679 Warszawa, Poland",52.22437189999999,21.0126248,4.6,509,Województwo mazowieckie,00-679
Warsaw,restaurant,Pod Gigantami,"Al. Ujazdowskie 24, 00-535 Warszawa, Poland",52.2270353,21.0236195,4.4,681,Województwo mazowieckie,00-535
Warsaw,restaurant,Platter by Karol Okrasa,"Emilii Plater 49, 00-125 Warszawa, Poland",52.2325771,21.0026669,4.6,588,Województwo mazowieckie,00-125
Warsaw,museum,Muzeum Powstania Warszawskiego,"Grzybowska 79, 00-844 Warszawa, Poland",52.2328613,20.9810343,4.7,35657,Województwo mazowieckie,00-844
Warsaw,museum,Muzeum Warszawy,"Rynek Starego Miasta 28/42, 00-272 Warszawa, Poland",52.2499581,21.0114383,4.6,3118,Województwo mazowieckie,00-288
Warsaw,museum,Muzeum Narodowe w Warszawie,"Aleje Jerozolimskie 3, 00-495 Warszawa, Poland",52.2321171,21.0242024,4.6,19751,Województwo mazowieckie,03
Warsaw,museum,The Royal Castle in Warsaw,"plac Zamkowy 4, 00-277 Warszawa, Poland",52.2477436,21.0141275,4.7,52801,Województwo mazowieckie,00-277
Warsaw,museum,Museum of Fryderyk Chopin in Warsaw,"Pałac Gnińskich, Okólnik 1, 00-368 Warszawa, Poland",52.23653969999999,21.0229345,4.5,5928,Województwo mazowieckie,00-355
Warsaw,museum,POLIN Museum of the History of Polish Jews,"Mordechaja Anielewicza 6, 00-157 Warszawa, Poland",52.2494958,20.993481,4.6,19211,Województwo mazowieckie,00-157
Warsaw,museum,Pawiak Prison Museum,"Dzielna 24/26, 00-162 Warszawa, Poland",52.24619999999999,20.9908939,4.6,2461,Województwo mazowieckie,00-162
Warsaw,museum,Muzeum Świat Iluzji / Museum World of Illusion,"Rynek Starego Miasta 21, 00-272 Warszawa, Poland",52.2495279,21.0118534,4.1,4307,Województwo mazowieckie,00-272
Warsaw,museum,Be Happy Museum Warszawa,"Aleje Jerozolimskie 148, 02-326 Warszawa, Poland",52.2135608,20.9517495,4.6,1061,Województwo mazowieckie,02-336
Warsaw,museum,Cosmos Muzeum Warszawa,"Łucka 15/3, 00-842 Warszawa, Poland",52.2322053,20.987699,4.0,3514,Województwo mazowieckie,00-842
