name,currency,timezones
Lesotho,"Lesotho loti, South African rand",UTC+02:00
Central African Republic,Central African CFA franc,UTC+01:00
Morocco,Moroccan dirham,UTC
Sierra Leone,Sierra Leonean leone,UTC
Burkina Faso,West African CFA franc,UTC
Eritrea,Eritrean nakfa,UTC+03:00
Tanzania,Tanzanian shilling,UTC+03:00
Algeria,Algerian dinar,UTC+01:00
Mauritania,Mauritanian ouguiya,UTC
Sudan,Sudanese pound,UTC+03:00
Western Sahara,"Algerian dinar, Moroccan dirham, Mauritanian ouguiya",UTC+00:00
Angola,Angolan kwanza,UTC+01:00
Ivory Coast,West African CFA franc,UTC
Tunisia,Tunisian dinar,UTC+01:00
Mali,West African CFA franc,UTC
Benin,West African CFA franc,UTC+01:00
Cape Verde,Cape Verdean escudo,UTC-01:00
Equatorial Guinea,Central African CFA franc,UTC+01:00
Uganda,Ugandan shilling,UTC+03:00
Botswana,Botswana pula,UTC+02:00
Burundi,Burundian franc,UTC+02:00
South Africa,South African rand,UTC+02:00
Libya,Libyan dinar,UTC+01:00
Mayotte,Euro,UTC+03:00
Gabon,Central African CFA franc,UTC+01:00
Cameroon,Central African CFA franc,UTC+01:00
Guinea,Guinean franc,UTC
Seychelles,Seychellois rupee,UTC+04:00
British Indian Ocean Territory,United States dollar,UTC+06:00
Madagascar,Malagasy ariary,UTC+03:00
DR Congo,Congolese franc,"UTC+01:00, UTC+02:00"
Gambia,dalasi,UTC+00:00
Somalia,Somali shilling,UTC+03:00
Nigeria,Nigerian naira,UTC+01:00
South Sudan,South Sudanese pound,UTC+03:00
Eswatini,"Swazi lilangeni, South African rand",UTC+02:00
Egypt,Egyptian pound,UTC+02:00
"Saint Helena, Ascension and Tristan da Cunha","Pound sterling, Saint Helena pound",UTC+00:00
Senegal,West African CFA franc,UTC
Togo,West African CFA franc,UTC
Kenya,Kenyan shilling,UTC+03:00
Rwanda,Rwandan franc,UTC+02:00
Namibia,"Namibian dollar, South African rand",UTC+01:00
Liberia,Liberian dollar,UTC
Zambia,Zambian kwacha,UTC+02:00
Niger,West African CFA franc,UTC+01:00
Comoros,Comorian franc,UTC+03:00
Guinea-Bissau,West African CFA franc,UTC
Ghana,Ghanaian cedi,UTC
Chad,Central African CFA franc,UTC+01:00
Zimbabwe,Zimbabwean dollar,UTC+02:00
Réunion,Euro,UTC+04:00
São Tomé and Príncipe,São Tomé and Príncipe dobra,UTC
Malawi,Malawian kwacha,UTC+02:00
Ethiopia,Ethiopian birr,UTC+03:00
Republic of the Congo,Central African CFA franc,UTC+01:00
Djibouti,Djiboutian franc,UTC+03:00
Mauritius,Mauritian rupee,UTC+04:00
Mozambique,Mozambican metical,UTC+02:00
Colombia,Colombian peso,UTC-05:00
Curaçao,Netherlands Antillean guilder,UTC-04:00
French Guiana,Euro,UTC-03:00
Grenada,Eastern Caribbean dollar,UTC-04:00
Sint Maarten,Netherlands Antillean guilder,UTC-04:00
Argentina,Argentine peso,UTC-03:00
Turks and Caicos Islands,United States dollar,UTC-04:00
Dominica,Eastern Caribbean dollar,UTC-04:00
United States Minor Outlying Islands,United States dollar,"UTC-11:00, UTC-10:00, UTC+12:00"
Costa Rica,Costa Rican colón,UTC-06:00
Haiti,Haitian gourde,UTC-05:00
Barbados,Barbadian dollar,UTC-04:00
Honduras,Honduran lempira,UTC-06:00
Puerto Rico,United States dollar,UTC-04:00
Falkland Islands,Falkland Islands pound,UTC-04:00
Saint Kitts and Nevis,Eastern Caribbean dollar,UTC-04:00
Saint Lucia,Eastern Caribbean dollar,UTC-04:00
Caribbean Netherlands,United States dollar,UTC-04:00
Bolivia,Bolivian boliviano,UTC-04:00
Chile,Chilean peso,"UTC-06:00, UTC-04:00"
United States,United States dollar,"UTC-12:00, UTC-11:00, UTC-10:00, UTC-09:00, UTC-08:00, UTC-07:00, UTC-06:00, UTC-05:00, UTC-04:00, UTC+10:00, UTC+12:00"
Guadeloupe,Euro,UTC-04:00
Mexico,Mexican peso,"UTC-08:00, UTC-07:00, UTC-06:00"
Saint Vincent and the Grenadines,Eastern Caribbean dollar,UTC-04:00
Bermuda,Bermudian dollar,UTC-04:00
Dominican Republic,Dominican peso,UTC-04:00
Guatemala,Guatemalan quetzal,UTC-06:00
Ecuador,United States dollar,"UTC-06:00, UTC-05:00"
Martinique,Euro,UTC-04:00
Suriname,Surinamese dollar,UTC-03:00
Saint Barthélemy,Euro,UTC-04:00
Bahamas,"Bahamian dollar, United States dollar",UTC-05:00
Paraguay,Paraguayan guaraní,UTC-04:00
British Virgin Islands,United States dollar,UTC-04:00
Brazil,Brazilian real,"UTC-05:00, UTC-04:00, UTC-03:00, UTC-02:00"
Belize,Belize dollar,UTC-06:00
Venezuela,Venezuelan bolívar soberano,UTC-04:00
El Salvador,United States dollar,UTC-06:00
Peru,Peruvian sol,UTC-05:00
Trinidad and Tobago,Trinidad and Tobago dollar,UTC-04:00
Greenland,krone,"UTC-04:00, UTC-03:00, UTC-01:00, UTC+00:00"
Guyana,Guyanese dollar,UTC-04:00
Jamaica,Jamaican dollar,UTC-05:00
Aruba,Aruban florin,UTC-04:00
Cayman Islands,Cayman Islands dollar,UTC-05:00
