track_name,album_name,release_date,track_id,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrics_url
Ocean,Mount Wittenberg Orca (Expanded Edition),2023-06-16,7oMy4krSWbBPVHtXBiyHrk,129026,0.104,0.0475,10,-13.914,1,0.0451,0.59,0.987,0.13,0.038,76.759,https://genius.com/Bjork-living-by-the-ocean-interview-lyrics
On and Ever Onward,Mount Wittenberg Orca (Expanded Edition),2023-06-16,2GxGDzq6dpPXUADQsa6o9T,121013,0.719,0.236,7,-9.063,1,0.033,0.774,0,0.0621,0.836,112.27,Lyrics not found
When the World Comes to an End,Mount Wittenberg Orca (Expanded Edition),2023-06-16,09TNNle5fDBPUtLpO6a7BK,188053,0.439,0.318,5,-11.552,1,0.046,0.579,6.95e-06,0.121,0.507,156.127,Lyrics not found
Beautiful Mother,Mount Wittenberg Orca (Expanded Edition),2023-06-16,3shbvAgUyh9nhJa53JN8mB,136360,0.86,0.154,7,-10.016,1,0.0539,0.679,0.00113,0.116,0.398,126.6,Lyrics not found
Sharing Orb,Mount Wittenberg Orca (Expanded Edition),2023-06-16,1M4euFTqRYW2xTLhqYGC0C,168000,0.496,0.0524,7,-9.198,1,0.0411,0.888,0,0.19,0.241,118.455,Lyrics not found
No Embrace,Mount Wittenberg Orca (Expanded Edition),2023-06-16,50GqjdVlfLflu1qMYxWQW5,253973,0.361,0.129,7,-11.129,1,0.033,0.882,3.05e-05,0.143,0.299,118.116,https://genius.com/Bjork-wanderlust-ratatat-remix-lyrics
All We Are,Mount Wittenberg Orca (Expanded Edition),2023-06-16,70eo8KLj0DFdbis2QYfas0,283906,0.323,0.0417,2,-18.029,0,0.0344,0.925,0,0.117,0.0391,123.928,https://genius.com/Bjork-losss-lyrics
Intro - Live from Housing Works 2009,Mount Wittenberg Orca (Expanded Edition),2023-06-16,3QWxEcoYt4EYDhShmn17h4,136626,0.578,0.374,3,-18.158,1,0.953,0.887,0,0.723,0.529,168.535,Lyrics not found
Ocean - Live from Housing Works 2009,Mount Wittenberg Orca (Expanded Edition),2023-06-16,61zHjRcLwsyTMXfPCjwww1,74506,0.401,0.0332,5,-23.549,1,0.0327,0.953,0.02,0.103,0.0649,50.113,Lyrics not found
On and Ever Onward - Live from Housing Works 2009,Mount Wittenberg Orca (Expanded Edition),2023-06-16,25JI5Fveqq1wDLPWO3z9so,141106,0.611,0.248,7,-9.586,1,0.0724,0.893,0,0.676,0.656,121.102,Lyrics not found
When the World Comes to an End - Live from Housing Works 2009,Mount Wittenberg Orca (Expanded Edition),2023-06-16,1EontRCrXtt4GT7LpLi6it,147840,0.465,0.169,7,-13.366,1,0.0563,0.855,9.34e-05,0.137,0.245,157.623,Lyrics not found
