name,latitude,longitude,historic,tourism,amenity
Vlčí rokle,49.8746428,14.5312744,Unknown,attraction,Unknown
Vodní tunel pod tratí,49.8724971,14.5140905,Unknown,attraction,Unknown
Hrad Šternberk,49.7330775,17.3018576,castle,attraction,Unknown
Giszowiec,50.2218038,19.0677859,Unknown,attraction,Unknown
Krypta Oleśnickich,50.8592755,21.0534329,tomb,attraction,crypt
Żernica Niżna,49.3761223,22.2987176,Unknown,attraction,Unknown
Oltářní kámen,49.7787244,17.2737605,monument,Unknown,Unknown
Jaskinia na Wierzchowinie,49.5327001,21.698202,Unknown,attraction,Unknown
Jaskinia przy Szkółce,49.5319019,21.6993008,Unknown,attraction,Unknown
Jaskinia pod Bukiem,49.5312001,21.7012023,Unknown,attraction,Unknown
Jaskinia gdzie samolot spadł,49.5253302,21.72758,Unknown,attraction,Unknown
Jaskinia gdzie samolot spadł,49.5254596,21.7278591,Unknown,attraction,Unknown
Wodospad Magurski,49.5995617,21.3852508,Unknown,attraction,Unknown
Morový sloup,49.7014109,17.0759922,monument,Unknown,Unknown
Masaryk,49.5958925,17.2647854,monument,Unknown,Unknown
1939 stanowisko gen.Abrahama,52.31955,20.8020708,memorial,attraction,Unknown
Pomnik Żołnierzy Wojska Polskiego,51.083473,16.9733008,monument,Unknown,Unknown
Kopiec Kościuszki,50.054915,19.8933537,monument,Unknown,Unknown
Pomnik Kazimierza III,49.9692488,20.4305068,monument,Unknown,Unknown
Ostrauer Aufzug,50.9166922,14.1612626,technical_monument,attraction,Unknown
Pavillon,50.9122409,14.2593118,Unknown,attraction,Unknown
Idagrotte,50.9122306,14.2461692,Unknown,attraction,Unknown
Barbarine,50.896538,14.0819149,Unknown,attraction,Unknown
Bloßstock,50.9200151,14.2359648,Unknown,attraction,Unknown
Brosinnadel,50.9187616,14.2333003,Unknown,attraction,Unknown
Pravčická brána,50.8837099,14.2812522,Unknown,attraction,Unknown
Schlüsselstein,50.9632771,14.1295281,Unknown,attraction,Unknown
historische Holzbrücke,53.7380214,14.0548487,bridge,attraction,Unknown
Storchennest,51.0877734,14.0163948,Unknown,attraction,Unknown
Perkun Spływy Łodziami i kajakowe Krutynią,53.6871067,21.429639,Unknown,attraction,Unknown
Pomnik Kościuszkowców,52.248033,21.0307911,monument,Unknown,Unknown
Pomnik Czynu Polaków,53.4427668,14.537704,monument,Unknown,Unknown
Památník obětem I. a II. světové války,49.5137121,17.0992584,monument,Unknown,Unknown
atom,49.701632,17.0815949,monument,Unknown,Unknown
Pferdehof Jerol,51.8901645,14.1394019,Unknown,attraction,Unknown
Pferdehof Wehlan,51.886567,14.1437676,Unknown,attraction,Unknown
Weidenburg - Arena Salix,51.8467428,14.1549566,Unknown,attraction,Unknown
Kräutergarten,51.8480674,14.1527051,Unknown,attraction,Unknown
Spreehafen Burg,51.8373365,14.1478614,Unknown,attraction,boat_rental
Pomnik Jana Pawła II,53.4394082,14.5410725,memorial,attraction,Unknown
